ItemType,Id,ParentId,Label,Icon,IsHidden,Route,SortOrder,CreatedAt,UpdatedAt,Category,GroupName,GroupIcon,IsFlat,Status,Description
submenu,401010,401000,Attendance,bi-calendar-check-fill,0,/v2/attendance,401010,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,ATTENDANCE,Attendance,bi-calendar-check-fill,0,active,"View and manage daily attendance records."

category,500000,,CONFIGURATION,,0,,500000,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,CONFIGURATION,,,,,,
menu,501000,500000,Audit Log,bi-journal-check,1,,501000,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,CONFIGURATION,Audit Log,bi-journal-check,0,, "Review system activity and track administrative actions."
submenu,501010,501000,Audit Log,bi-journal-check,0,/v2/auditlog,501010,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,CONFIGURATION,Audit Log,bi-journal-check,0,active,"View detailed logs of user actions and system events."

category,600000,,SETTINGS,,0,,600000,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,SETTINGS,,,,,,
menu,601000,600000,Table Settings,bi-table,1,,601000,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,SETTINGS,Table Settings,bi-table,0,, "Configure table layouts, columns, and display preferences."
submenu,601010,601000,Table Settings,bi-table,0,/v2/settings,601010,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,SETTINGS,Table Settings,bi-table,0,active,"Customise table views and saved configurations."

menu,602000,600000,Diagnostics,bi-activity,1,,602000,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,SETTINGS,Diagnostics,bi-activity,0,, "Access system diagnostics and troubleshooting tools."
submenu,602010,602000,Diagnostics,bi-activity,0,/v2/diagnostics,602010,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,SETTINGS,Diagnostics,bi-activity,0,active,"View system health checks and diagnostic information."

menu,603000,600000,Site,bi-diagram-3,1,,603000,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,SETTINGS,Site,bi-diagram-3,0,, "Manage site-wide configuration and environment settings."
submenu,603010,603000,Site,bi-diagram-3,0,/v2/site,603010,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,SETTINGS,Site,bi-diagram-3,0,active,"Configure global site settings and operational parameters."

category,700000,,DESIGN SYSTEM,,0,,700000,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,DESIGN SYSTEM,,,,,,
menu,701000,700000,Global Config,bi-grid-3x3-gap-fill,1,,701000,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,DESIGN SYSTEM,Global Config,bi-grid-3x3-gap-fill,0,, "Manage global design system settings and UI configuration."
submenu,701010,701000,Global Config,bi-grid-3x3-gap-fill,0,/global-settings/colours,701010,2026-04-06 10:16:17.300,2026-04-06 10:16:17.300,DESIGN SYSTEM,Global Config,bi-grid-3x3-gap-fill,0,active,"Configure colour palettes and visual theme settings."

category,800000,,SYSTEM MANAGEMENT,,0,,800000,2026-04-13 00:59:34.513,2026-04-13 00:59:34.513,SYSTEM MANAGEMENT,,,,,"System administration, security, and page management."
menu,801000,800000,User Management,bi-people-gear,0,,801000,2026-04-13 00:59:34.513,2026-04-13 00:59:34.513,SYSTEM MANAGEMENT,User Management,bi-people-gear,0,, "Manage user accounts, roles, and access permissions."
submenu,801010,801000,Users,bi-person,0,/v2/system/users,801010,2026-04-13 00:59:34.513,2026-04-13 00:59:34.513,SYSTEM MANAGEMENT,User Management,bi-people-gear,0,active,"View and manage all user accounts."
submenu,801020,801000,Roles,bi-shield-lock,0,/v2/system/roles,801020,2026-04-13 00:59:34.513,2026-04-13 00:59:34.513,SYSTEM MANAGEMENT,User Management,bi-people-gear,0,active,"Define and manage system roles."
submenu,801030,801000,Permissions,bi-key,0,/v2/system/permissions,801030,2026-04-13 00:59:34.513,2026-04-13 00:59:34.513,SYSTEM MANAGEMENT,User Management,bi-people-gear,0,active,"Configure granular permissions for each role."
submenu,801040,801000,Page Access,bi-diagram-3,0,/v2/system/page-access,801040,2026-04-13 00:59:34.513,2026-04-13 00:59:34.513,SYSTEM MANAGEMENT,User Management,bi-people-gear,0,active,"Control which roles can access each page."

menu,802000,800000,Pages,bi-files,0,,802000,2026-04-13 00:59:34.513,2026-04-13 00:59:34.513,SYSTEM MANAGEMENT,Pages,bi-files,0,, "Manage application pages, layouts, and metadata."
submenu,802010,802000,All Pages,bi-file-earmark,0,/v2/system/pages,802010,2026-04-13 00:59:34.513,2026-04-13 00:59:34.513,SYSTEM MANAGEMENT,Pages,bi-files,0,active,"View and manage all registered application pages."
submenu,802020,802000,Page Layouts,bi-columns-gap,0,/v2/system/pages/layouts,802020,2026-04-13 00:59:34.513,2026-04-13 00:59:34.513,SYSTEM MANAGEMENT,Pages,bi-files,0,active,"Manage page layout templates."
submenu,802030,802000,Page Metadata,bi-card-list,0,/v2/system/pages/metadata,802030,2026-04-13 00:59:34.513,2026-04-13 00:59:34.513,SYSTEM MANAGEMENT,Pages,bi-files,0,active,"Edit page metadata, titles, and descriptions."
