"id","title","slug","is_visible","url","route_name","icon","order","is_external","parent_id","display_order","menu_group","created_at","updated_at"
"105","UI Component Preview","ui-preview","1",NULL,"qa.ui","fas fa-eye","0","0","102","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"106","Regression Checklist","regression-checklist","1",NULL,"qa.regression","fas fa-check-double","0","0","102","4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"107","Integrations","integrations","1",NULL,NULL,"fas fa-puzzle-piece","0","0",NULL,"14","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"108","Webhooks","webhooks","1",NULL,"integrations.webhooks","fas fa-link","0","0","107","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"109","Third-Party Apps","third-party","1",NULL,"integrations.apps","fas fa-cubes","0","0","107","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"110","Slack / Teams Notifications","slack-teams","1",NULL,"integrations.notifications","fab fa-slack","0","0","107","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"111","CRM Sync","crm-sync","1",NULL,"integrations.crm","fas fa-sync","0","0","107","4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"112","Custom API Endpoints","custom-api","1",NULL,"integrations.api","fas fa-code","0","0","107","5","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"113","Compliance","compliance","1",NULL,NULL,"fas fa-gavel","0","0",NULL,"15","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"114","Audit Logs","audit-logs","1",NULL,"compliance.audit","fas fa-history","0","0","113","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"115","Data Retention Policies","data-retention","1",NULL,"compliance.retention","fas fa-clock","0","0","113","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"116","GDPR Tools","gdpr-tools","1",NULL,"compliance.gdpr","fas fa-shield-alt","0","0","113","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"117","Access Reviews","access-reviews","1",NULL,"compliance.access","fas fa-user-check","0","0","113","4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"118","Help & Onboarding","help-onboarding","1",NULL,NULL,"fas fa-question-circle","0","0",NULL,"16","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"119","Getting Started","getting-started","1",NULL,"help.started","fas fa-play","0","0","118","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"120","Feature Walkthroughs","feature-walkthroughs","1",NULL,"help.features","fas fa-route","0","0","118","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"121","FAQ","faq","1",NULL,"help.faq","fas fa-question","0","0","118","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"122","Contact Support","contact-support","1",NULL,"help.contact","fas fa-envelope","0","0","118","4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"123","Submit Feedback","submit-feedback","1",NULL,"help.feedback","fas fa-comment","0","0","118","5","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"124","My Account","my-account","1",NULL,NULL,"fas fa-user-circle","0","0",NULL,"17","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"125","Edit Profile","edit-profile","1",NULL,"account.profile","fas fa-user-edit","0","0","124","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"126","Change Password","change-password","1",NULL,"account.password","fas fa-key","0","0","124","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"127","Two-Factor Authentication","two-factor-auth","1",NULL,"account.two-factor","fas fa-shield-alt","0","0","124","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"128","Active Sessions","active-sessions","1",NULL,"account.sessions","fas fa-list-alt","0","0","124","4","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"129","My Notifications","my-notifications","1",NULL,"account.notifications","fas fa-bell","0","0","124","5","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"130","Sidebar & Navigation","sidebar-navigation","1",NULL,NULL,"fas fa-bars","0","0",NULL,"18","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"131","Menu Management","menu-management","1",NULL,"menus.index","fas fa-list","0","0","130","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"132","Reorder Sidebar","reorder-sidebar","1",NULL,"menus.reorder","fas fa-sort","0","0","131","1","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"133","Role Menu Assignment","role-menu-assignment-sub","1",NULL,"menus.roles","fas fa-user-tag","0","0","131","2","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
"134","User Menu Override","user-menu-override-sub","1",NULL,"menus.users","fas fa-user-cog","0","0","131","3","main","2025-08-08 00:00:00","2025-08-08 00:00:00"
