"Id","ComponentGroup","TokenKey","CssVariable","DefaultValue","CurrentValue","Category","Description","IsActive","SortOrder","CreatedAt","UpdatedAt","Family","Variant","GroupName"
"121","btn","dark-bg-disabled","--ds-btn-dark-disabled-bg","#212529",NULL,"color","Dark button disabled background","1","121","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","dark","basic-dark"
"122","btn","dark-text-disabled","--ds-btn-dark-disabled-text","#ffffff",NULL,"color","Dark button disabled text","1","122","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","dark","basic-dark"
"123","btn","dark-border-disabled","--ds-btn-dark-disabled-border","#212529",NULL,"color","Dark button disabled border","1","123","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","dark","basic-dark"
"124","btn","outline-dark-text","--ds-btn-outline-dark-text","#212529",NULL,"color","Outline dark text","1","124","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","dark","basic-dark"
"125","btn","outline-dark-border","--ds-btn-outline-dark-border","#212529",NULL,"color","Outline dark border","1","125","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","dark","basic-dark"
"126","btn","outline-dark-bg-hover","--ds-btn-outline-dark-hover-bg","#212529",NULL,"color","Outline dark hover background","1","126","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","dark","basic-dark"
"127","btn","outline-dark-text-hover","--ds-btn-outline-dark-hover-text","#ffffff",NULL,"color","Outline dark hover text","1","127","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","dark","basic-dark"
"128","btn","outline-dark-border-hover","--ds-btn-outline-dark-hover-border","#212529",NULL,"color","Outline dark hover border","1","128","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","dark","basic-dark"
"129","btn","outline-dark-text-disabled","--ds-btn-outline-dark-disabled-text","#212529",NULL,"color","Outline dark disabled text","1","129","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","dark","basic-dark"
"130","btn","outline-dark-border-disabled","--ds-btn-outline-dark-disabled-border","#212529",NULL,"color","Outline dark disabled border","1","130","2026-05-15 01:00:11","2026-05-15 01:00:11","basic","dark","basic-dark"
"200","text","size-xs","--ds-text-size-xs","var(--ds-text-xs)",NULL,"typography","Extra small text size","1","200","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"201","text","size-sm","--ds-text-size-sm","var(--ds-text-sm)",NULL,"typography","Small text size","1","201","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"202","text","size-md","--ds-text-size-md","var(--ds-text-base)",NULL,"typography","Medium text size","1","202","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"203","text","size-lg","--ds-text-size-lg","var(--ds-text-lg)",NULL,"typography","Large text size","1","203","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"204","text","size-xl","--ds-text-size-xl","var(--ds-text-xl)",NULL,"typography","Extra large text size","1","204","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"205","text","size-2xl","--ds-text-size-2xl","var(--ds-text-2xl)",NULL,"typography","2x large text size","1","205","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"206","text","font-regular","--ds-text-font-regular","var(--ds-font-normal)",NULL,"typography","Regular font weight","1","206","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"207","text","font-medium","--ds-text-font-medium","var(--ds-font-medium)",NULL,"typography","Medium font weight","1","207","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"208","text","font-semibold","--ds-text-font-semibold","var(--ds-font-semibold)",NULL,"typography","Semibold font weight","1","208","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"209","text","font-bold","--ds-text-font-bold","var(--ds-font-bold)",NULL,"typography","Bold font weight","1","209","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"210","text","color-primary","--ds-text-color-primary","var(--ds-color-text, #2c3345)",NULL,"color","Primary text color","1","210","2026-05-12 00:00:00","2026-05-12 00:00:00","default","primary","default-primary"
"211","text","color-secondary","--ds-text-color-secondary","var(--ds-color-text-muted, #7b8494)",NULL,"color","Secondary text color","1","211","2026-05-12 00:00:00","2026-05-12 00:00:00","default","secondary","default-secondary"
"212","text","color-muted","--ds-text-color-muted","var(--ds-color-text-muted, #7b8494)",NULL,"color","Muted text color","1","212","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"213","text","color-inverse","--ds-text-color-inverse","var(--ds-color-text-inverse, #ffffff)",NULL,"color","Inverse text color for dark surfaces","1","213","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"250","surface","base","--ds-surface-base","var(--ds-color-bg, #eaecf0)",NULL,"color","Base surface background","1","250","2026-05-12 00:00:00","2026-05-12 00:00:00","default","base","default-base"
"251","surface","raised","--ds-surface-raised","var(--ds-color-surface, #f5f6f8)",NULL,"color","Raised surface background","1","251","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"252","surface","subtle","--ds-surface-subtle","var(--ds-color-surface, #f5f6f8)",NULL,"color","Subtle surface background","1","252","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"253","surface","overlay","--ds-surface-overlay","var(--ds-color-surface-raised, #ffffff)",NULL,"color","Overlay surface background","1","253","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"254","surface","hover","--ds-surface-hover","var(--ds-color-sidebar-hover, #e8eaed)",NULL,"color","Hover surface background","1","254","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"255","surface","active","--ds-surface-active","var(--ds-color-sidebar-active, #2563eb)",NULL,"color","Active surface background","1","255","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"256","surface","disabled","--ds-surface-disabled","var(--ds-color-gray-200, #e5e7eb)",NULL,"color","Disabled surface background","1","256","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"300","border","default","--ds-border-default","var(--ds-color-border, #dde1e7)",NULL,"color","Default border color","1","300","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"301","border","muted","--ds-border-muted","var(--ds-color-gray-200, #e5e7eb)",NULL,"color","Muted border color","1","301","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"302","border","strong","--ds-border-strong","var(--ds-color-gray-400, #9ca3af)",NULL,"color","Strong border color","1","302","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"303","border","focus","--ds-border-focus","var(--ds-color-accent, #2563eb)",NULL,"color","Focus border color","1","303","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"304","border","danger","--ds-border-danger","var(--ds-color-danger, #dc2626)",NULL,"color","Danger border color","1","304","2026-05-12 00:00:00","2026-05-12 00:00:00","default","danger","default-danger"
"305","border","warning","--ds-border-warning","var(--ds-color-warning, #d97706)",NULL,"color","Warning border color","1","305","2026-05-12 00:00:00","2026-05-12 00:00:00","default","warning","default-warning"
"306","border","success","--ds-border-success","var(--ds-color-success, #16a34a)",NULL,"color","Success border color","1","306","2026-05-12 00:00:00","2026-05-12 00:00:00","default","success","default-success"
"307","border","info","--ds-border-info","var(--ds-color-info, #0284c7)",NULL,"color","Info border color","1","307","2026-05-12 00:00:00","2026-05-12 00:00:00","default","info","default-info"
"350","radius","xs","--ds-radius-xs","0px",NULL,"radius","Extra small border radius","1","350","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"351","radius","sm","--ds-radius-sm","4px",NULL,"radius","Small border radius","1","351","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"352","radius","md","--ds-radius-md","6px",NULL,"radius","Medium border radius","1","352","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"353","radius","lg","--ds-radius-lg","8px",NULL,"radius","Large border radius","1","353","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"354","radius","xl","--ds-radius-xl","12px",NULL,"radius","Extra large border radius","1","354","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"355","radius","full","--ds-radius-full","9999px",NULL,"radius","Full border radius (pill)","1","355","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"356","radius","control","--ds-radius-control","6px",NULL,"radius","Control border radius","1","356","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"357","radius","card","--ds-radius-card","8px",NULL,"radius","Card border radius","1","357","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"400","shadow","none","--ds-shadow-none","none",NULL,"shadow","No shadow","1","400","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"401","shadow","xs","--ds-shadow-xs","0 1px 2px rgba(0, 0, 0, 0.05)",NULL,"shadow","Extra small shadow","1","401","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"402","shadow","sm","--ds-shadow-sm","0 1px 3px rgba(0, 0, 0, 0.10), 0 1px 2px rgba(0, 0, 0, 0.06)",NULL,"shadow","Small shadow","1","402","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"403","shadow","md","--ds-shadow-md","0 4px 6px rgba(0, 0, 0, 0.07), 0 2px 4px rgba(0, 0, 0, 0.06)",NULL,"shadow","Medium shadow","1","403","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"404","shadow","lg","--ds-shadow-lg","0 10px 15px rgba(0, 0, 0, 0.10), 0 4px 6px rgba(0, 0, 0, 0.05)",NULL,"shadow","Large shadow","1","404","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"405","shadow","dropdown","--ds-shadow-dropdown","0 20px 25px rgba(0, 0, 0, 0.10), 0 8px 10px rgba(0, 0, 0, 0.04)",NULL,"shadow","Dropdown shadow","1","405","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"406","shadow","alert","--ds-shadow-alert","0 8px 24px rgba(0, 0, 0, 0.12)",NULL,"shadow","Alert shadow","1","406","2026-05-12 00:00:00","2026-05-12 00:00:00","default","alert","default-alert"
"450","spacing","space-1","--ds-space-1","4px",NULL,"spacing","1 unit spacing","1","450","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"451","spacing","space-2","--ds-space-2","8px",NULL,"spacing","2 unit spacing","1","451","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"452","spacing","space-3","--ds-space-3","12px",NULL,"spacing","3 unit spacing","1","452","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"453","spacing","space-4","--ds-space-4","16px",NULL,"spacing","4 unit spacing","1","453","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"454","spacing","space-5","--ds-space-5","20px",NULL,"spacing","5 unit spacing","1","454","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"455","spacing","space-6","--ds-space-6","24px",NULL,"spacing","6 unit spacing","1","455","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"456","spacing","space-8","--ds-space-8","32px",NULL,"spacing","8 unit spacing","1","456","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"457","spacing","space-10","--ds-space-10","40px",NULL,"spacing","10 unit spacing","1","457","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"458","spacing","space-12","--ds-space-12","48px",NULL,"spacing","12 unit spacing","1","458","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"459","spacing","gap-sm","--ds-gap-sm","var(--ds-space-2)",NULL,"spacing","Small gap","1","459","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"460","spacing","gap-md","--ds-gap-md","var(--ds-space-4)",NULL,"spacing","Medium gap","1","460","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"461","spacing","gap-lg","--ds-gap-lg","var(--ds-space-6)",NULL,"spacing","Large gap","1","461","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"462","spacing","input-px","--ds-input-px","var(--ds-space-2)",NULL,"spacing","Input horizontal padding","1","462","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"463","spacing","input-py","--ds-input-py","var(--ds-space-2)",NULL,"spacing","Input vertical padding","1","463","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"464","spacing","table-cell-px","--ds-table-cell-px","var(--ds-space-3)",NULL,"spacing","Table cell horizontal padding","1","464","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"465","spacing","table-cell-py","--ds-table-cell-py","var(--ds-space-2)",NULL,"spacing","Table cell vertical padding","1","465","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"466","spacing","form-label-mb","--ds-form-label-mb","var(--ds-space-1)",NULL,"spacing","Form label margin bottom","1","466","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"467","spacing","form-hint-mt","--ds-form-hint-mt","var(--ds-space-1)",NULL,"spacing","Form hint margin top","1","467","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"500","layout","header-h","--ds-layout-header-h","var(--hdr-h, 52px)",NULL,"layout","Header height","1","500","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"501","layout","footer-h","--ds-layout-footer-h","var(--ftr-h, 36px)",NULL,"layout","Footer height","1","501","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"502","layout","sidebar-w","--ds-layout-sidebar-w","var(--sb-w, 230px)",NULL,"layout","Sidebar width","1","502","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"503","layout","sidebar-w-collapsed","--ds-layout-sidebar-w-collapsed","var(--sb-w-col, 52px)",NULL,"layout","Collapsed sidebar width","1","503","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"504","layout","shell-gap","--ds-layout-shell-gap","var(--ds-space-4)",NULL,"layout","Shell region gap","1","504","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"550","nav-header","bg","--ds-nav-header-bg","#f5f6f8",NULL,"color","Header background","1","550","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"551","nav-header","border","--ds-nav-header-border","#dde1e7",NULL,"color","Header border color","1","551","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"552","nav-header","text","--ds-nav-header-text","#2c3345",NULL,"color","Header text color","1","552","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"553","nav-header","dropdown-bg","--ds-nav-header-dropdown-bg","#ffffff",NULL,"color","Header dropdown background","1","553","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"554","nav-header","dropdown-border","--ds-nav-header-dropdown-border","#dde1e7",NULL,"color","Header dropdown border","1","554","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"555","nav-header","dropdown-shadow","--ds-nav-header-dropdown-shadow","0 8px 24px rgba(0, 0, 0, 0.12)",NULL,"shadow","Header dropdown shadow","1","555","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"556","nav-header","badge-notification-bg","--ds-nav-header-badge-notification-bg","#dc2626",NULL,"color","Notification badge background","1","556","2026-05-12 00:00:00","2026-05-12 00:00:00","default","badge","default-badge"
"557","nav-header","badge-notification-text","--ds-nav-header-badge-notification-text","#ffffff",NULL,"color","Notification badge text","1","557","2026-05-12 00:00:00","2026-05-12 00:00:00","default","badge","default-badge"
"600","nav-sidebar","bg","--ds-nav-sidebar-bg","#f5f6f8",NULL,"color","Sidebar background","1","600","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"601","nav-sidebar","border","--ds-nav-sidebar-border","#dde1e7",NULL,"color","Sidebar border color","1","601","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"602","nav-sidebar","text","--ds-nav-sidebar-text","#2c3345",NULL,"color","Sidebar text color","1","602","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"603","nav-sidebar","text-muted","--ds-nav-sidebar-text-muted","#7b8494",NULL,"color","Sidebar muted text color","1","603","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"604","nav-sidebar","bg-hover","--ds-nav-sidebar-bg-hover","#e8eaed",NULL,"color","Sidebar hover background","1","604","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"605","nav-sidebar","bg-active","--ds-nav-sidebar-bg-active","#2563eb",NULL,"color","Sidebar active background","1","605","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"606","nav-sidebar","text-active","--ds-nav-sidebar-text-active","#ffffff",NULL,"color","Sidebar active text color","1","606","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"607","nav-sidebar","scrollbar-thumb","--ds-nav-sidebar-scrollbar-thumb","#d1d5db",NULL,"color","Sidebar scrollbar thumb color","1","607","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"608","nav-sidebar","scrollbar-thumb-hover","--ds-nav-sidebar-scrollbar-thumb-hover","#9ca3af",NULL,"color","Sidebar scrollbar thumb hover","1","608","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"609","nav-sidebar","category-text","--ds-nav-sidebar-category-text","#2563eb",NULL,"color","Sidebar category text color","1","609","2026-05-12 00:00:00","2026-05-12 00:00:00","default","default","default-default"
"650","input","base-bg","--ds-input-base-bg","#ffffff",NULL,"color","Form field background","1","650","2026-05-12 00:00:00","2026-05-12 00:00:00","default","base","default-base"
"651","input","base-text","--ds-input-base-text","var(--ds-color-text, #2c3345)",NULL,"color","Form field text color","1","651","2026-05-12 00:00:00","2026-05-12 00:00:00","default","base","default-base"
"652","input","base-border","--ds-input-base-border","var(--ds-color-border, #dde1e7)",NULL,"color","Form field border color","1","652","2026-05-12 00:00:00","2026-05-12 00:00:00","default","base","default-base"
"653","input","base-placeholder","--ds-input-base-placeholder","var(--ds-color-text-muted, #7b8494)",NULL,"color","Form field placeholder color","1","653","2026-05-12 00:00:00","2026-05-12 00:00:00","default","base","default-base"
"654","input","base-border-focus","--ds-input-base-border-focus","var(--ds-color-accent, #2563eb)",NULL,"color","Form field focus border","1","654","2026-05-12 00:00:00","2026-05-12 00:00:00","default","base","default-base"
"655","input","base-ring-focus","--ds-input-base-ring-focus","0 0 0 1px rgba(37, 99, 235, 0.35)",NULL,"shadow","Form field focus ring shadow","1","655","2026-05-12 00:00:00","2026-05-12 00:00:00","default","base","default-base"
"656","input","base-border-error","--ds-input-base-border-error","var(--ds-color-danger, #dc2626)",NULL,"color","Form field error border","1","656","2026-05-12 00:00:00","2026-05-12 00:00:00","default","base","default-base"
"657","input","base-text-error","--ds-input-base-text-error","var(--ds-color-danger, #dc2626)",NULL,"color","Form field error text","1","657","2026-05-12 00:00:00","2026-05-12 00:00:00","default","base","default-base"
"658","input","base-label","--ds-input-base-label","var(--ds-color-text, #2c3345)",NULL,"color","Form label text color","1","658","2026-05-12 00:00:00","2026-05-12 00:00:00","default","base","default-base"
