"Id","ComponentGroup","TokenKey","CssVariable","DefaultValue","CurrentValue","Category","Description","IsActive","SortOrder","CreatedAt","UpdatedAt"
"114","btn","btn-light-disabled-border","--ds-btn-light-disabled-border","#f8f9fa",NULL,"color","Light button disabled border","1","114","2026-05-15 01:00:11","2026-05-15 01:00:11"
"115","btn","btn-dark-bg","--ds-btn-dark-bg","#212529",NULL,"color","Dark button background","1","115","2026-05-15 01:00:11","2026-05-15 01:00:11"
"116","btn","btn-dark-text","--ds-btn-dark-text","#ffffff",NULL,"color","Dark button text","1","116","2026-05-15 01:00:11","2026-05-15 01:00:11"
"117","btn","btn-dark-border","--ds-btn-dark-border","#212529",NULL,"color","Dark button border","1","117","2026-05-15 01:00:11","2026-05-15 01:00:11"
"118","btn","btn-dark-hover-bg","--ds-btn-dark-hover-bg","#1c1f23",NULL,"color","Dark button hover background","1","118","2026-05-15 01:00:11","2026-05-15 01:00:11"
"119","btn","btn-dark-hover-text","--ds-btn-dark-hover-text","#ffffff",NULL,"color","Dark button hover text","1","119","2026-05-15 01:00:11","2026-05-15 01:00:11"
"120","btn","btn-dark-hover-border","--ds-btn-dark-hover-border","#1a1e21",NULL,"color","Dark button hover border","1","120","2026-05-15 01:00:11","2026-05-15 01:00:11"
"121","btn","btn-dark-disabled-bg","--ds-btn-dark-disabled-bg","#212529",NULL,"color","Dark button disabled background","1","121","2026-05-15 01:00:11","2026-05-15 01:00:11"
"122","btn","btn-dark-disabled-text","--ds-btn-dark-disabled-text","#ffffff",NULL,"color","Dark button disabled text","1","122","2026-05-15 01:00:11","2026-05-15 01:00:11"
"123","btn","btn-dark-disabled-border","--ds-btn-dark-disabled-border","#212529",NULL,"color","Dark button disabled border","1","123","2026-05-15 01:00:11","2026-05-15 01:00:11"
"124","btn","btn-outline-dark-text","--ds-btn-outline-dark-text","#212529",NULL,"color","Outline dark text","1","124","2026-05-15 01:00:11","2026-05-15 01:00:11"
"125","btn","btn-outline-dark-border","--ds-btn-outline-dark-border","#212529",NULL,"color","Outline dark border","1","125","2026-05-15 01:00:11","2026-05-15 01:00:11"
"126","btn","btn-outline-dark-hover-bg","--ds-btn-outline-dark-hover-bg","#212529",NULL,"color","Outline dark hover background","1","126","2026-05-15 01:00:11","2026-05-15 01:00:11"
"127","btn","btn-outline-dark-hover-text","--ds-btn-outline-dark-hover-text","#ffffff",NULL,"color","Outline dark hover text","1","127","2026-05-15 01:00:11","2026-05-15 01:00:11"
"128","btn","btn-outline-dark-hover-border","--ds-btn-outline-dark-hover-border","#212529",NULL,"color","Outline dark hover border","1","128","2026-05-15 01:00:11","2026-05-15 01:00:11"
"129","btn","btn-outline-dark-disabled-text","--ds-btn-outline-dark-disabled-text","#212529",NULL,"color","Outline dark disabled text","1","129","2026-05-15 01:00:11","2026-05-15 01:00:11"
"130","btn","btn-outline-dark-disabled-border","--ds-btn-outline-dark-disabled-border","#212529",NULL,"color","Outline dark disabled border","1","130","2026-05-15 01:00:11","2026-05-15 01:00:11"
"200","text","size-xs","--ds-text-size-xs","var(--ds-text-xs)",NULL,"typography","Extra small text size","1","200","2026-05-12 00:00:00","2026-05-12 00:00:00"
"201","text","size-sm","--ds-text-size-sm","var(--ds-text-sm)",NULL,"typography","Small text size","1","201","2026-05-12 00:00:00","2026-05-12 00:00:00"
"202","text","size-md","--ds-text-size-md","var(--ds-text-base)",NULL,"typography","Medium text size","1","202","2026-05-12 00:00:00","2026-05-12 00:00:00"
"203","text","size-lg","--ds-text-size-lg","var(--ds-text-lg)",NULL,"typography","Large text size","1","203","2026-05-12 00:00:00","2026-05-12 00:00:00"
"204","text","size-xl","--ds-text-size-xl","var(--ds-text-xl)",NULL,"typography","Extra large text size","1","204","2026-05-12 00:00:00","2026-05-12 00:00:00"
"205","text","size-2xl","--ds-text-size-2xl","var(--ds-text-2xl)",NULL,"typography","2x large text size","1","205","2026-05-12 00:00:00","2026-05-12 00:00:00"
"206","text","font-regular","--ds-text-font-regular","var(--ds-font-normal)",NULL,"typography","Regular font weight","1","206","2026-05-12 00:00:00","2026-05-12 00:00:00"
"207","text","font-medium","--ds-text-font-medium","var(--ds-font-medium)",NULL,"typography","Medium font weight","1","207","2026-05-12 00:00:00","2026-05-12 00:00:00"
"208","text","font-semibold","--ds-text-font-semibold","var(--ds-font-semibold)",NULL,"typography","Semibold font weight","1","208","2026-05-12 00:00:00","2026-05-12 00:00:00"
"209","text","font-bold","--ds-text-font-bold","var(--ds-font-bold)",NULL,"typography","Bold font weight","1","209","2026-05-12 00:00:00","2026-05-12 00:00:00"
"210","text","color-primary","--ds-text-color-primary","var(--ds-color-text, #2c3345)",NULL,"color","Primary text color","1","210","2026-05-12 00:00:00","2026-05-12 00:00:00"
"211","text","color-secondary","--ds-text-color-secondary","var(--ds-color-text-muted, #7b8494)",NULL,"color","Secondary text color","1","211","2026-05-12 00:00:00","2026-05-12 00:00:00"
"212","text","color-muted","--ds-text-color-muted","var(--ds-color-text-muted, #7b8494)",NULL,"color","Muted text color","1","212","2026-05-12 00:00:00","2026-05-12 00:00:00"
"213","text","color-inverse","--ds-text-color-inverse","var(--ds-color-text-inverse, #ffffff)",NULL,"color","Inverse text color for dark surfaces","1","213","2026-05-12 00:00:00","2026-05-12 00:00:00"
"250","surface","base","--ds-surface-base","var(--ds-color-bg, #eaecf0)",NULL,"color","Base surface background","1","250","2026-05-12 00:00:00","2026-05-12 00:00:00"
"251","surface","raised","--ds-surface-raised","var(--ds-color-surface, #f5f6f8)",NULL,"color","Raised surface background","1","251","2026-05-12 00:00:00","2026-05-12 00:00:00"
"252","surface","subtle","--ds-surface-subtle","var(--ds-color-surface, #f5f6f8)",NULL,"color","Subtle surface background","1","252","2026-05-12 00:00:00","2026-05-12 00:00:00"
"253","surface","overlay","--ds-surface-overlay","var(--ds-color-surface-raised, #ffffff)",NULL,"color","Overlay surface background","1","253","2026-05-12 00:00:00","2026-05-12 00:00:00"
"254","surface","hover","--ds-surface-hover","var(--ds-color-sidebar-hover, #e8eaed)",NULL,"color","Hover surface background","1","254","2026-05-12 00:00:00","2026-05-12 00:00:00"
"255","surface","active","--ds-surface-active","var(--ds-color-sidebar-active, #2563eb)",NULL,"color","Active surface background","1","255","2026-05-12 00:00:00","2026-05-12 00:00:00"
"256","surface","disabled","--ds-surface-disabled","var(--ds-color-gray-200, #e5e7eb)",NULL,"color","Disabled surface background","1","256","2026-05-12 00:00:00","2026-05-12 00:00:00"
"300","border","default","--ds-border-default","var(--ds-color-border, #dde1e7)",NULL,"color","Default border color","1","300","2026-05-12 00:00:00","2026-05-12 00:00:00"
"301","border","muted","--ds-border-muted","var(--ds-color-gray-200, #e5e7eb)",NULL,"color","Muted border color","1","301","2026-05-12 00:00:00","2026-05-12 00:00:00"
"302","border","strong","--ds-border-strong","var(--ds-color-gray-400, #9ca3af)",NULL,"color","Strong border color","1","302","2026-05-12 00:00:00","2026-05-12 00:00:00"
"303","border","focus","--ds-border-focus","var(--ds-color-accent, #2563eb)",NULL,"color","Focus border color","1","303","2026-05-12 00:00:00","2026-05-12 00:00:00"
"304","border","danger","--ds-border-danger","var(--ds-color-danger, #dc2626)",NULL,"color","Danger border color","1","304","2026-05-12 00:00:00","2026-05-12 00:00:00"
"305","border","warning","--ds-border-warning","var(--ds-color-warning, #d97706)",NULL,"color","Warning border color","1","305","2026-05-12 00:00:00","2026-05-12 00:00:00"
"306","border","success","--ds-border-success","var(--ds-color-success, #16a34a)",NULL,"color","Success border color","1","306","2026-05-12 00:00:00","2026-05-12 00:00:00"
"307","border","info","--ds-border-info","var(--ds-color-info, #0284c7)",NULL,"color","Info border color","1","307","2026-05-12 00:00:00","2026-05-12 00:00:00"
"350","radius","xs","--ds-radius-xs","0px",NULL,"radius","Extra small border radius","1","350","2026-05-12 00:00:00","2026-05-12 00:00:00"
"351","radius","sm","--ds-radius-sm","4px",NULL,"radius","Small border radius","1","351","2026-05-12 00:00:00","2026-05-12 00:00:00"
"352","radius","md","--ds-radius-md","6px",NULL,"radius","Medium border radius","1","352","2026-05-12 00:00:00","2026-05-12 00:00:00"
"353","radius","lg","--ds-radius-lg","8px",NULL,"radius","Large border radius","1","353","2026-05-12 00:00:00","2026-05-12 00:00:00"
"354","radius","xl","--ds-radius-xl","12px",NULL,"radius","Extra large border radius","1","354","2026-05-12 00:00:00","2026-05-12 00:00:00"
"355","radius","full","--ds-radius-full","9999px",NULL,"radius","Full border radius (pill)","1","355","2026-05-12 00:00:00","2026-05-12 00:00:00"
"356","radius","control","--ds-radius-control","6px",NULL,"radius","Control border radius","1","356","2026-05-12 00:00:00","2026-05-12 00:00:00"
"357","radius","card","--ds-radius-card","8px",NULL,"radius","Card border radius","1","357","2026-05-12 00:00:00","2026-05-12 00:00:00"
"400","shadow","none","--ds-shadow-none","none",NULL,"shadow","No shadow","1","400","2026-05-12 00:00:00","2026-05-12 00:00:00"
"401","shadow","xs","--ds-shadow-xs","0 1px 2px rgba(0, 0, 0, 0.05)",NULL,"shadow","Extra small shadow","1","401","2026-05-12 00:00:00","2026-05-12 00:00:00"
"402","shadow","sm","--ds-shadow-sm","0 1px 3px rgba(0, 0, 0, 0.10), 0 1px 2px rgba(0, 0, 0, 0.06)",NULL,"shadow","Small shadow","1","402","2026-05-12 00:00:00","2026-05-12 00:00:00"
"403","shadow","md","--ds-shadow-md","0 4px 6px rgba(0, 0, 0, 0.07), 0 2px 4px rgba(0, 0, 0, 0.06)",NULL,"shadow","Medium shadow","1","403","2026-05-12 00:00:00","2026-05-12 00:00:00"
"404","shadow","lg","--ds-shadow-lg","0 10px 15px rgba(0, 0, 0, 0.10), 0 4px 6px rgba(0, 0, 0, 0.05)",NULL,"shadow","Large shadow","1","404","2026-05-12 00:00:00","2026-05-12 00:00:00"
"405","shadow","dropdown","--ds-shadow-dropdown","0 20px 25px rgba(0, 0, 0, 0.10), 0 8px 10px rgba(0, 0, 0, 0.04)",NULL,"shadow","Dropdown shadow","1","405","2026-05-12 00:00:00","2026-05-12 00:00:00"
"406","shadow","alert","--ds-shadow-alert","0 8px 24px rgba(0, 0, 0, 0.12)",NULL,"shadow","Alert shadow","1","406","2026-05-12 00:00:00","2026-05-12 00:00:00"
"450","spacing","space-1","--ds-space-1","4px",NULL,"spacing","1 unit spacing","1","450","2026-05-12 00:00:00","2026-05-12 00:00:00"
"451","spacing","space-2","--ds-space-2","8px",NULL,"spacing","2 unit spacing","1","451","2026-05-12 00:00:00","2026-05-12 00:00:00"
"452","spacing","space-3","--ds-space-3","12px",NULL,"spacing","3 unit spacing","1","452","2026-05-12 00:00:00","2026-05-12 00:00:00"
"453","spacing","space-4","--ds-space-4","16px",NULL,"spacing","4 unit spacing","1","453","2026-05-12 00:00:00","2026-05-12 00:00:00"
"454","spacing","space-5","--ds-space-5","20px",NULL,"spacing","5 unit spacing","1","454","2026-05-12 00:00:00","2026-05-12 00:00:00"
"455","spacing","space-6","--ds-space-6","24px",NULL,"spacing","6 unit spacing","1","455","2026-05-12 00:00:00","2026-05-12 00:00:00"
"456","spacing","space-8","--ds-space-8","32px",NULL,"spacing","8 unit spacing","1","456","2026-05-12 00:00:00","2026-05-12 00:00:00"
"457","spacing","space-10","--ds-space-10","40px",NULL,"spacing","10 unit spacing","1","457","2026-05-12 00:00:00","2026-05-12 00:00:00"
"458","spacing","space-12","--ds-space-12","48px",NULL,"spacing","12 unit spacing","1","458","2026-05-12 00:00:00","2026-05-12 00:00:00"
"459","spacing","gap-sm","--ds-gap-sm","var(--ds-space-2)",NULL,"spacing","Small gap","1","459","2026-05-12 00:00:00","2026-05-12 00:00:00"
"460","spacing","gap-md","--ds-gap-md","var(--ds-space-4)",NULL,"spacing","Medium gap","1","460","2026-05-12 00:00:00","2026-05-12 00:00:00"
"461","spacing","gap-lg","--ds-gap-lg","var(--ds-space-6)",NULL,"spacing","Large gap","1","461","2026-05-12 00:00:00","2026-05-12 00:00:00"
"462","spacing","input-px","--ds-input-px","var(--ds-space-2)",NULL,"spacing","Input horizontal padding","1","462","2026-05-12 00:00:00","2026-05-12 00:00:00"
"463","spacing","input-py","--ds-input-py","var(--ds-space-2)",NULL,"spacing","Input vertical padding","1","463","2026-05-12 00:00:00","2026-05-12 00:00:00"
"464","spacing","table-cell-px","--ds-table-cell-px","var(--ds-space-3)",NULL,"spacing","Table cell horizontal padding","1","464","2026-05-12 00:00:00","2026-05-12 00:00:00"
"465","spacing","table-cell-py","--ds-table-cell-py","var(--ds-space-2)",NULL,"spacing","Table cell vertical padding","1","465","2026-05-12 00:00:00","2026-05-12 00:00:00"
"466","spacing","form-label-mb","--ds-form-label-mb","var(--ds-space-1)",NULL,"spacing","Form label margin bottom","1","466","2026-05-12 00:00:00","2026-05-12 00:00:00"
"467","spacing","form-hint-mt","--ds-form-hint-mt","var(--ds-space-1)",NULL,"spacing","Form hint margin top","1","467","2026-05-12 00:00:00","2026-05-12 00:00:00"
"500","layout","header-h","--ds-layout-header-h","var(--hdr-h, 52px)",NULL,"layout","Header height","1","500","2026-05-12 00:00:00","2026-05-12 00:00:00"
"501","layout","footer-h","--ds-layout-footer-h","var(--ftr-h, 36px)",NULL,"layout","Footer height","1","501","2026-05-12 00:00:00","2026-05-12 00:00:00"
"502","layout","sidebar-w","--ds-layout-sidebar-w","var(--sb-w, 230px)",NULL,"layout","Sidebar width","1","502","2026-05-12 00:00:00","2026-05-12 00:00:00"
"503","layout","sidebar-w-collapsed","--ds-layout-sidebar-w-collapsed","var(--sb-w-col, 52px)",NULL,"layout","Collapsed sidebar width","1","503","2026-05-12 00:00:00","2026-05-12 00:00:00"
"504","layout","shell-gap","--ds-layout-shell-gap","var(--ds-space-4)",NULL,"layout","Shell region gap","1","504","2026-05-12 00:00:00","2026-05-12 00:00:00"
"550","nav-header","bg","--ds-nav-header-bg","#f5f6f8",NULL,"color","Header background","1","550","2026-05-12 00:00:00","2026-05-12 00:00:00"
"551","nav-header","border","--ds-nav-header-border","#dde1e7",NULL,"color","Header border color","1","551","2026-05-12 00:00:00","2026-05-12 00:00:00"
"552","nav-header","text","--ds-nav-header-text","#2c3345",NULL,"color","Header text color","1","552","2026-05-12 00:00:00","2026-05-12 00:00:00"
"553","nav-header","dropdown-bg","--ds-nav-header-dropdown-bg","#ffffff",NULL,"color","Header dropdown background","1","553","2026-05-12 00:00:00","2026-05-12 00:00:00"
"554","nav-header","dropdown-border","--ds-nav-header-dropdown-border","#dde1e7",NULL,"color","Header dropdown border","1","554","2026-05-12 00:00:00","2026-05-12 00:00:00"
"555","nav-header","dropdown-shadow","--ds-nav-header-dropdown-shadow","0 8px 24px rgba(0, 0, 0, 0.12)",NULL,"shadow","Header dropdown shadow","1","555","2026-05-12 00:00:00","2026-05-12 00:00:00"
"556","nav-header","badge-notification-bg","--ds-nav-header-badge-notification-bg","#dc2626",NULL,"color","Notification badge background","1","556","2026-05-12 00:00:00","2026-05-12 00:00:00"
"557","nav-header","badge-notification-text","--ds-nav-header-badge-notification-text","#ffffff",NULL,"color","Notification badge text","1","557","2026-05-12 00:00:00","2026-05-12 00:00:00"
"600","nav-sidebar","bg","--ds-nav-sidebar-bg","#f5f6f8",NULL,"color","Sidebar background","1","600","2026-05-12 00:00:00","2026-05-12 00:00:00"
"601","nav-sidebar","border","--ds-nav-sidebar-border","#dde1e7",NULL,"color","Sidebar border color","1","601","2026-05-12 00:00:00","2026-05-12 00:00:00"
"602","nav-sidebar","text","--ds-nav-sidebar-text","#2c3345",NULL,"color","Sidebar text color","1","602","2026-05-12 00:00:00","2026-05-12 00:00:00"
"603","nav-sidebar","text-muted","--ds-nav-sidebar-text-muted","#7b8494",NULL,"color","Sidebar muted text color","1","603","2026-05-12 00:00:00","2026-05-12 00:00:00"
"604","nav-sidebar","hover-bg","--ds-nav-sidebar-hover-bg","#e8eaed",NULL,"color","Sidebar hover background","1","604","2026-05-12 00:00:00","2026-05-12 00:00:00"
"605","nav-sidebar","active-bg","--ds-nav-sidebar-active-bg","#2563eb",NULL,"color","Sidebar active background","1","605","2026-05-12 00:00:00","2026-05-12 00:00:00"
"606","nav-sidebar","active-text","--ds-nav-sidebar-active-text","#ffffff",NULL,"color","Sidebar active text color","1","606","2026-05-12 00:00:00","2026-05-12 00:00:00"
"607","nav-sidebar","scrollbar-thumb","--ds-nav-sidebar-scrollbar-thumb","#d1d5db",NULL,"color","Sidebar scrollbar thumb color","1","607","2026-05-12 00:00:00","2026-05-12 00:00:00"
"608","nav-sidebar","scrollbar-thumb-hover","--ds-nav-sidebar-scrollbar-thumb-hover","#9ca3af",NULL,"color","Sidebar scrollbar thumb hover","1","608","2026-05-12 00:00:00","2026-05-12 00:00:00"
"609","nav-sidebar","category-text","--ds-nav-sidebar-category-text","#2563eb",NULL,"color","Sidebar category text color","1","609","2026-05-12 00:00:00","2026-05-12 00:00:00"
"650","form-field","bg","--ds-form-field-bg","#ffffff",NULL,"color","Form field background","1","650","2026-05-12 00:00:00","2026-05-12 00:00:00"
"651","form-field","text","--ds-form-field-text","var(--ds-color-text, #2c3345)",NULL,"color","Form field text color","1","651","2026-05-12 00:00:00","2026-05-12 00:00:00"
"652","form-field","border","--ds-form-field-border","var(--ds-color-border, #dde1e7)",NULL,"color","Form field border color","1","652","2026-05-12 00:00:00","2026-05-12 00:00:00"
"653","form-field","placeholder","--ds-form-field-placeholder","var(--ds-color-text-muted, #7b8494)",NULL,"color","Form field placeholder color","1","653","2026-05-12 00:00:00","2026-05-12 00:00:00"
"654","form-field","focus-border","--ds-form-field-focus-border","var(--ds-color-accent, #2563eb)",NULL,"color","Form field focus border","1","654","2026-05-12 00:00:00","2026-05-12 00:00:00"
"655","form-field","focus-ring","--ds-form-field-focus-ring","0 0 0 1px rgba(37, 99, 235, 0.35)",NULL,"shadow","Form field focus ring shadow","1","655","2026-05-12 00:00:00","2026-05-12 00:00:00"
"656","form-field","error-border","--ds-form-field-error-border","var(--ds-color-danger, #dc2626)",NULL,"color","Form field error border","1","656","2026-05-12 00:00:00","2026-05-12 00:00:00"
"657","form-field","error-text","--ds-form-field-error-text","var(--ds-color-danger, #dc2626)",NULL,"color","Form field error text","1","657","2026-05-12 00:00:00","2026-05-12 00:00:00"
"658","form-field","label","--ds-form-field-label","var(--ds-color-text, #2c3345)",NULL,"color","Form label text color","1","658","2026-05-12 00:00:00","2026-05-12 00:00:00"
"659","form-field","hint","--ds-form-field-hint","var(--ds-color-text-muted, #7b8494)",NULL,"color","Form hint text color","1","659","2026-05-12 00:00:00","2026-05-12 00:00:00"
"660","form-field","disabled","--ds-form-field-disabled","var(--ds-color-gray-200, #e5e7eb)",NULL,"color","Form field disabled state","1","660","2026-05-12 00:00:00","2026-05-12 00:00:00"
"700","form-shell","bg","--ds-form-shell-bg","#ffffff",NULL,"color","Form shell background","1","700","2026-05-12 00:00:00","2026-05-12 00:00:00"
"701","form-shell","border","--ds-form-shell-border","var(--ds-color-border, #dde1e7)",NULL,"color","Form shell border color","1","701","2026-05-12 00:00:00","2026-05-12 00:00:00"
"702","form-shell","shadow","--ds-form-shell-shadow","0 2px 8px rgba(0, 0, 0, 0.10)",NULL,"shadow","Form shell shadow","1","702","2026-05-12 00:00:00","2026-05-12 00:00:00"
"703","form-shell","muted","--ds-form-shell-muted","var(--ds-color-text-muted, #7b8494)",NULL,"color","Form shell muted text","1","703","2026-05-12 00:00:00","2026-05-12 00:00:00"
"704","form-shell","action-bg","--ds-form-shell-action-bg","var(--ds-color-surface, #f5f6f8)",NULL,"color","Form shell action area background","1","704","2026-05-12 00:00:00","2026-05-12 00:00:00"
"750","table","header-bg","--ds-table-header-bg","#1e3a5f",NULL,"color","Table header background","1","750","2026-05-12 00:00:00","2026-05-12 00:00:00"
"751","table","header-text","--ds-table-header-text","#ffffff",NULL,"color","Table header text color","1","751","2026-05-12 00:00:00","2026-05-12 00:00:00"
"752","table","row-even-bg","--ds-table-row-even-bg","var(--ds-color-surface, #f5f6f8)",NULL,"color","Table even row background","1","752","2026-05-12 00:00:00","2026-05-12 00:00:00"
"753","table","row-hover-bg","--ds-table-row-hover-bg","var(--ds-color-sidebar-hover, #e8eaed)",NULL,"color","Table row hover background","1","753","2026-05-12 00:00:00","2026-05-12 00:00:00"
"754","table","border","--ds-table-border","var(--ds-color-border, #dde1e7)",NULL,"color","Table border color","1","754","2026-05-12 00:00:00","2026-05-12 00:00:00"
"755","table","surface","--ds-table-surface","var(--ds-color-surface, #f5f6f8)",NULL,"color","Table surface color","1","755","2026-05-12 00:00:00","2026-05-12 00:00:00"
"756","table","muted","--ds-table-muted","var(--ds-color-text-muted, #7b8494)",NULL,"color","Table muted text","1","756","2026-05-12 00:00:00","2026-05-12 00:00:00"
"757","table","action-primary-bg","--ds-table-action-primary-bg","var(--ds-color-accent, #2563eb)",NULL,"color","Table action primary background","1","757","2026-05-12 00:00:00","2026-05-12 00:00:00"
"800","alert","info-bg","--ds-alert-info-bg","#e0f2fe",NULL,"color","Alert info background","1","800","2026-05-12 00:00:00","2026-05-12 00:00:00"
"801","alert","info-border","--ds-alert-info-border","#0284c7",NULL,"color","Alert info border","1","801","2026-05-12 00:00:00","2026-05-12 00:00:00"
