"Id","ComponentGroup","TokenKey","CssVariable","DefaultValue","CurrentValue","Category","Description","IsActive","SortOrder","CreatedAt","UpdatedAt"
"555","nav-header","dropdown-shadow","--ds-nav-header-dropdown-shadow","TBD",NULL,"shadow","Header dropdown shadow","1","555","2026-05-12 00:00:00","2026-05-12 00:00:00"
"556","nav-header","badge-notification-bg","--ds-nav-header-badge-notification-bg","TBD",NULL,"color","Notification badge background","1","556","2026-05-12 00:00:00","2026-05-12 00:00:00"
"557","nav-header","badge-notification-text","--ds-nav-header-badge-notification-text","TBD",NULL,"color","Notification badge text","1","557","2026-05-12 00:00:00","2026-05-12 00:00:00"
"600","nav-sidebar","bg","--ds-nav-sidebar-bg","TBD",NULL,"color","Sidebar background","1","600","2026-05-12 00:00:00","2026-05-12 00:00:00"
"601","nav-sidebar","border","--ds-nav-sidebar-border","TBD",NULL,"color","Sidebar border color","1","601","2026-05-12 00:00:00","2026-05-12 00:00:00"
"602","nav-sidebar","text","--ds-nav-sidebar-text","TBD",NULL,"color","Sidebar text color","1","602","2026-05-12 00:00:00","2026-05-12 00:00:00"
"603","nav-sidebar","text-muted","--ds-nav-sidebar-text-muted","TBD",NULL,"color","Sidebar muted text color","1","603","2026-05-12 00:00:00","2026-05-12 00:00:00"
"604","nav-sidebar","hover-bg","--ds-nav-sidebar-hover-bg","TBD",NULL,"color","Sidebar hover background","1","604","2026-05-12 00:00:00","2026-05-12 00:00:00"
"605","nav-sidebar","active-bg","--ds-nav-sidebar-active-bg","TBD",NULL,"color","Sidebar active background","1","605","2026-05-12 00:00:00","2026-05-12 00:00:00"
"606","nav-sidebar","active-text","--ds-nav-sidebar-active-text","TBD",NULL,"color","Sidebar active text color","1","606","2026-05-12 00:00:00","2026-05-12 00:00:00"
"607","nav-sidebar","scrollbar-thumb","--ds-nav-sidebar-scrollbar-thumb","TBD",NULL,"color","Sidebar scrollbar thumb color","1","607","2026-05-12 00:00:00","2026-05-12 00:00:00"
"608","nav-sidebar","scrollbar-thumb-hover","--ds-nav-sidebar-scrollbar-thumb-hover","TBD",NULL,"color","Sidebar scrollbar thumb hover","1","608","2026-05-12 00:00:00","2026-05-12 00:00:00"
"609","nav-sidebar","category-text","--ds-nav-sidebar-category-text","TBD",NULL,"color","Sidebar category text color","1","609","2026-05-12 00:00:00","2026-05-12 00:00:00"
"650","form-field","bg","--ds-form-field-bg","TBD",NULL,"color","Form field background","1","650","2026-05-12 00:00:00","2026-05-12 00:00:00"
"651","form-field","text","--ds-form-field-text","TBD",NULL,"color","Form field text color","1","651","2026-05-12 00:00:00","2026-05-12 00:00:00"
"652","form-field","border","--ds-form-field-border","TBD",NULL,"color","Form field border color","1","652","2026-05-12 00:00:00","2026-05-12 00:00:00"
"653","form-field","placeholder","--ds-form-field-placeholder","TBD",NULL,"color","Form field placeholder color","1","653","2026-05-12 00:00:00","2026-05-12 00:00:00"
"654","form-field","focus-border","--ds-form-field-focus-border","TBD",NULL,"color","Form field focus border","1","654","2026-05-12 00:00:00","2026-05-12 00:00:00"
"655","form-field","focus-ring","--ds-form-field-focus-ring","TBD",NULL,"shadow","Form field focus ring shadow","1","655","2026-05-12 00:00:00","2026-05-12 00:00:00"
"656","form-field","error-border","--ds-form-field-error-border","TBD",NULL,"color","Form field error border","1","656","2026-05-12 00:00:00","2026-05-12 00:00:00"
"657","form-field","error-text","--ds-form-field-error-text","TBD",NULL,"color","Form field error text","1","657","2026-05-12 00:00:00","2026-05-12 00:00:00"
"658","form-field","label","--ds-form-field-label","TBD",NULL,"color","Form label text color","1","658","2026-05-12 00:00:00","2026-05-12 00:00:00"
"659","form-field","hint","--ds-form-field-hint","TBD",NULL,"color","Form hint text color","1","659","2026-05-12 00:00:00","2026-05-12 00:00:00"
"660","form-field","disabled","--ds-form-field-disabled","TBD",NULL,"color","Form field disabled state","1","660","2026-05-12 00:00:00","2026-05-12 00:00:00"
"700","form-shell","bg","--ds-form-shell-bg","TBD",NULL,"color","Form shell background","1","700","2026-05-12 00:00:00","2026-05-12 00:00:00"
"701","form-shell","border","--ds-form-shell-border","TBD",NULL,"color","Form shell border color","1","701","2026-05-12 00:00:00","2026-05-12 00:00:00"
"702","form-shell","shadow","--ds-form-shell-shadow","TBD",NULL,"shadow","Form shell shadow","1","702","2026-05-12 00:00:00","2026-05-12 00:00:00"
"703","form-shell","muted","--ds-form-shell-muted","TBD",NULL,"color","Form shell muted text","1","703","2026-05-12 00:00:00","2026-05-12 00:00:00"
"704","form-shell","action-bg","--ds-form-shell-action-bg","TBD",NULL,"color","Form shell action area background","1","704","2026-05-12 00:00:00","2026-05-12 00:00:00"
"750","table","header-bg","--ds-table-header-bg","TBD",NULL,"color","Table header background","1","750","2026-05-12 00:00:00","2026-05-12 00:00:00"
"751","table","header-text","--ds-table-header-text","TBD",NULL,"color","Table header text color","1","751","2026-05-12 00:00:00","2026-05-12 00:00:00"
"752","table","row-even-bg","--ds-table-row-even-bg","TBD",NULL,"color","Table even row background","1","752","2026-05-12 00:00:00","2026-05-12 00:00:00"
"753","table","row-hover-bg","--ds-table-row-hover-bg","TBD",NULL,"color","Table row hover background","1","753","2026-05-12 00:00:00","2026-05-12 00:00:00"
"754","table","border","--ds-table-border","TBD",NULL,"color","Table border color","1","754","2026-05-12 00:00:00","2026-05-12 00:00:00"
"755","table","surface","--ds-table-surface","TBD",NULL,"color","Table surface color","1","755","2026-05-12 00:00:00","2026-05-12 00:00:00"
"756","table","muted","--ds-table-muted","TBD",NULL,"color","Table muted text","1","756","2026-05-12 00:00:00","2026-05-12 00:00:00"
"757","table","action-primary-bg","--ds-table-action-primary-bg","TBD",NULL,"color","Table action primary background","1","757","2026-05-12 00:00:00","2026-05-12 00:00:00"
"800","alert","info-bg","--ds-alert-info-bg","TBD",NULL,"color","Alert info background","1","800","2026-05-12 00:00:00","2026-05-12 00:00:00"
"801","alert","info-border","--ds-alert-info-border","TBD",NULL,"color","Alert info border","1","801","2026-05-12 00:00:00","2026-05-12 00:00:00"
"802","alert","info-text","--ds-alert-info-text","TBD",NULL,"color","Alert info text","1","802","2026-05-12 00:00:00","2026-05-12 00:00:00"
"803","alert","success-bg","--ds-alert-success-bg","TBD",NULL,"color","Alert success background","1","803","2026-05-12 00:00:00","2026-05-12 00:00:00"
"804","alert","success-border","--ds-alert-success-border","TBD",NULL,"color","Alert success border","1","804","2026-05-12 00:00:00","2026-05-12 00:00:00"
"805","alert","success-text","--ds-alert-success-text","TBD",NULL,"color","Alert success text","1","805","2026-05-12 00:00:00","2026-05-12 00:00:00"
"806","alert","warning-bg","--ds-alert-warning-bg","TBD",NULL,"color","Alert warning background","1","806","2026-05-12 00:00:00","2026-05-12 00:00:00"
"807","alert","warning-border","--ds-alert-warning-border","TBD",NULL,"color","Alert warning border","1","807","2026-05-12 00:00:00","2026-05-12 00:00:00"
"808","alert","warning-text","--ds-alert-warning-text","TBD",NULL,"color","Alert warning text","1","808","2026-05-12 00:00:00","2026-05-12 00:00:00"
"809","alert","danger-bg","--ds-alert-danger-bg","TBD",NULL,"color","Alert danger background","1","809","2026-05-12 00:00:00","2026-05-12 00:00:00"
"810","alert","danger-border","--ds-alert-danger-border","TBD",NULL,"color","Alert danger border","1","810","2026-05-12 00:00:00","2026-05-12 00:00:00"
"811","alert","danger-text","--ds-alert-danger-text","TBD",NULL,"color","Alert danger text","1","811","2026-05-12 00:00:00","2026-05-12 00:00:00"
"812","alert","shadow","--ds-alert-shadow","TBD",NULL,"shadow","Alert shadow","1","812","2026-05-12 00:00:00","2026-05-12 00:00:00"
"813","alert","radius","--ds-alert-radius","TBD",NULL,"radius","Alert border radius","1","813","2026-05-12 00:00:00","2026-05-12 00:00:00"
"850","icon","size-xs","--ds-icon-size-xs","TBD",NULL,"typography","Extra small icon size","1","850","2026-05-12 00:00:00","2026-05-12 00:00:00"
"851","icon","size-sm","--ds-icon-size-sm","TBD",NULL,"typography","Small icon size","1","851","2026-05-12 00:00:00","2026-05-12 00:00:00"
"852","icon","size-md","--ds-icon-size-md","TBD",NULL,"typography","Medium icon size","1","852","2026-05-12 00:00:00","2026-05-12 00:00:00"
"853","icon","size-lg","--ds-icon-size-lg","TBD",NULL,"typography","Large icon size","1","853","2026-05-12 00:00:00","2026-05-12 00:00:00"
"854","icon","size-xl","--ds-icon-size-xl","TBD",NULL,"typography","Extra large icon size","1","854","2026-05-12 00:00:00","2026-05-12 00:00:00"
"855","icon","size-2xl","--ds-icon-size-2xl","TBD",NULL,"typography","2x large icon size","1","855","2026-05-12 00:00:00","2026-05-12 00:00:00"
"856","icon","color","--ds-icon-color","TBD",NULL,"color","Icon color","1","856","2026-05-12 00:00:00","2026-05-12 00:00:00"
"857","icon","color-muted","--ds-icon-color-muted","TBD",NULL,"color","Muted icon color","1","857","2026-05-12 00:00:00","2026-05-12 00:00:00"
"858","icon","color-accent","--ds-icon-color-accent","TBD",NULL,"color","Accent icon color","1","858","2026-05-12 00:00:00","2026-05-12 00:00:00"
"900","icon-btn","gap","--ds-icon-btn-gap","TBD",NULL,"spacing","Icon button content gap","1","900","2026-05-12 00:00:00","2026-05-12 00:00:00"
"901","icon-btn","radius","--ds-icon-btn-radius","TBD",NULL,"radius","Icon button border radius","1","901","2026-05-12 00:00:00","2026-05-12 00:00:00"
"902","icon-btn","font-size-sm","--ds-icon-btn-font-size-sm","TBD",NULL,"typography","Small icon button font size","1","902","2026-05-12 00:00:00","2026-05-12 00:00:00"
"903","icon-btn","font-size-md","--ds-icon-btn-font-size-md","TBD",NULL,"typography","Medium icon button font size","1","903","2026-05-12 00:00:00","2026-05-12 00:00:00"
"904","icon-btn","font-size-lg","--ds-icon-btn-font-size-lg","TBD",NULL,"typography","Large icon button font size","1","904","2026-05-12 00:00:00","2026-05-12 00:00:00"
"905","icon-btn","padding-sm","--ds-icon-btn-padding-sm","TBD",NULL,"spacing","Small icon button padding","1","905","2026-05-12 00:00:00","2026-05-12 00:00:00"
"906","icon-btn","padding-md","--ds-icon-btn-padding-md","TBD",NULL,"spacing","Medium icon button padding","1","906","2026-05-12 00:00:00","2026-05-12 00:00:00"
"907","icon-btn","padding-lg","--ds-icon-btn-padding-lg","TBD",NULL,"spacing","Large icon button padding","1","907","2026-05-12 00:00:00","2026-05-12 00:00:00"
"908","icon-btn","ghost-bg","--ds-icon-btn-ghost-bg","TBD",NULL,"color","Ghost icon button background","1","908","2026-05-12 00:00:00","2026-05-12 00:00:00"
"909","icon-btn","ghost-hover-bg","--ds-icon-btn-ghost-hover-bg","TBD",NULL,"color","Ghost icon button hover background","1","909","2026-05-12 00:00:00","2026-05-12 00:00:00"
"910","icon-btn","primary-bg","--ds-icon-btn-primary-bg","TBD",NULL,"color","Primary icon button background","1","910","2026-05-12 00:00:00","2026-05-12 00:00:00"
"911","icon-btn","primary-hover-bg","--ds-icon-btn-primary-hover-bg","TBD",NULL,"color","Primary icon button hover background","1","911","2026-05-12 00:00:00","2026-05-12 00:00:00"
"912","icon-btn","danger-bg","--ds-icon-btn-danger-bg","TBD",NULL,"color","Danger icon button background","1","912","2026-05-12 00:00:00","2026-05-12 00:00:00"
"913","icon-btn","danger-hover-bg","--ds-icon-btn-danger-hover-bg","TBD",NULL,"color","Danger icon button hover background","1","913","2026-05-12 00:00:00","2026-05-12 00:00:00"
"914","icon-btn","text","--ds-icon-btn-text","TBD",NULL,"color","Icon button text color","1","914","2026-05-12 00:00:00","2026-05-12 00:00:00"
"950","badge-status","active-bg","--ds-badge-active-bg","TBD",NULL,"color","Active badge background","1","950","2026-05-12 00:00:00","2026-05-12 00:00:00"
"951","badge-status","active-text","--ds-badge-active-text","TBD",NULL,"color","Active badge text","1","951","2026-05-12 00:00:00","2026-05-12 00:00:00"
"952","badge-status","inactive-bg","--ds-badge-inactive-bg","TBD",NULL,"color","Inactive badge background","1","952","2026-05-12 00:00:00","2026-05-12 00:00:00"
"953","badge-status","inactive-text","--ds-badge-inactive-text","TBD",NULL,"color","Inactive badge text","1","953","2026-05-12 00:00:00","2026-05-12 00:00:00"
"954","badge-status","planned-bg","--ds-badge-planned-bg","TBD",NULL,"color","Planned badge background","1","954","2026-05-12 00:00:00","2026-05-12 00:00:00"
"955","badge-status","planned-text","--ds-badge-planned-text","TBD",NULL,"color","Planned badge text","1","955","2026-05-12 00:00:00","2026-05-12 00:00:00"
"956","badge-status","radius","--ds-badge-radius","TBD",NULL,"radius","Badge border radius","1","956","2026-05-12 00:00:00","2026-05-12 00:00:00"
"957","badge-status","font-size","--ds-badge-font-size","TBD",NULL,"typography","Badge font size","1","957","2026-05-12 00:00:00","2026-05-12 00:00:00"
"1000","chart","surface","--ds-chart-surface","TBD",NULL,"color","Chart surface background","1","1000","2026-05-12 00:00:00","2026-05-12 00:00:00"
"1001","chart","grid-line","--ds-chart-grid-line","TBD",NULL,"color","Chart grid line color","1","1001","2026-05-12 00:00:00","2026-05-12 00:00:00"
"1002","chart","axis-text","--ds-chart-axis-text","TBD",NULL,"color","Chart axis text color","1","1002","2026-05-12 00:00:00","2026-05-12 00:00:00"
"1003","chart","series-1","--ds-chart-series-1","TBD",NULL,"color","Chart series 1 color","1","1003","2026-05-12 00:00:00","2026-05-12 00:00:00"
"1004","chart","series-2","--ds-chart-series-2","TBD",NULL,"color","Chart series 2 color","1","1004","2026-05-12 00:00:00","2026-05-12 00:00:00"
"1005","chart","positive","--ds-chart-positive","TBD",NULL,"color","Chart positive value color","1","1005","2026-05-12 00:00:00","2026-05-12 00:00:00"
"1006","chart","warning","--ds-chart-warning","TBD",NULL,"color","Chart warning value color","1","1006","2026-05-12 00:00:00","2026-05-12 00:00:00"
"1007","chart","danger","--ds-chart-danger","TBD",NULL,"color","Chart danger value color","1","1007","2026-05-12 00:00:00","2026-05-12 00:00:00"
"1008","chart","neutral","--ds-chart-neutral","TBD",NULL,"color","Chart neutral value color","1","1008","2026-05-12 00:00:00","2026-05-12 00:00:00"
"1009","chart","tooltip-bg","--ds-chart-tooltip-bg","TBD",NULL,"color","Chart tooltip background","1","1009","2026-05-12 00:00:00","2026-05-12 00:00:00"
"1010","chart","tooltip-text","--ds-chart-tooltip-text","TBD",NULL,"color","Chart tooltip text color","1","1010","2026-05-12 00:00:00","2026-05-12 00:00:00"
