"Id","CreatedAt","UpdatedAt","ItemType","Route","Label","Description","Icon","ParentId","SortOrder","Category","GroupName","GroupIcon","IsFlat","Status","IsHidden"
"200420","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/ui-kits/accordions","Accordions",NULL,"bi-layout-text-sidebar","200410","200420",NULL,NULL,NULL,"0",NULL,"0"
"200421","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/ui-kits/progress","Progress",NULL,"bi-hourglass-split","200410","200421",NULL,NULL,NULL,"0",NULL,"0"
"200422","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/ui-kits/notifications","Notifications",NULL,"bi-bell","200410","200422",NULL,NULL,NULL,"0",NULL,"0"
"200423","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/ui-kits/lists","Lists",NULL,"bi-list-ul","200410","200423",NULL,NULL,NULL,"0",NULL,"0"
"200424","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/ui-kits/helper-classes","Helper Classes",NULL,"bi-tools","200410","200424",NULL,NULL,NULL,"0",NULL,"0"
"200425","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/ui-kits/background","Background",NULL,"bi-image","200410","200425",NULL,NULL,NULL,"0",NULL,"0"
"200426","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/ui-kits/divider","Divider",NULL,"bi-dash-lg","200410","200426",NULL,NULL,NULL,"0",NULL,"0"
"200427","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/ui-kits/ribbons","Ribbons",NULL,"bi-bookmark-star","200410","200427",NULL,NULL,NULL,"0",NULL,"0"
"200428","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/ui-kits/editor","Editor",NULL,"bi-pencil-square","200410","200428",NULL,NULL,NULL,"0",NULL,"0"
"200500","2026-05-12 01:41:09","2026-05-12 01:41:09","category",NULL,"Advance UI","Phase 8 – Advance UI category","bi-lightning",NULL,"200500",NULL,NULL,NULL,"0",NULL,"0"
"200510","2026-05-12 01:41:09","2026-05-12 01:41:09","menu",NULL,"Advance UI","Advance UI group","bi-lightning","200500","200510",NULL,NULL,NULL,"0",NULL,"0"
"200511","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/modals","Modals",NULL,"bi-window","200510","200511",NULL,NULL,NULL,"0",NULL,"0"
"200512","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/offcanvas-toggle","Offcanvas Toggle",NULL,"bi-layout-sidebar","200510","200512",NULL,NULL,NULL,"0",NULL,"0"
"200513","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/sweat-alert","Sweat Alert",NULL,"bi-patch-exclamation","200510","200513",NULL,NULL,NULL,"0",NULL,"0"
"200514","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/scrollbar","Scrollbar",NULL,"bi-arrows-expand","200510","200514",NULL,NULL,NULL,"0",NULL,"0"
"200515","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/spinners","Spinners",NULL,"bi-arrow-repeat","200510","200515",NULL,NULL,NULL,"0",NULL,"0"
"200516","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/animation","Animation",NULL,"bi-stars","200510","200516",NULL,NULL,NULL,"0",NULL,"0"
"200517","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/video-embed","Video Embed",NULL,"bi-play-circle","200510","200517",NULL,NULL,NULL,"0",NULL,"0"
"200518","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/tour","Tour",NULL,"bi-map","200510","200518",NULL,NULL,NULL,"0",NULL,"0"
"200519","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/slider","Slider",NULL,"bi-sliders","200510","200519",NULL,NULL,NULL,"0",NULL,"0"
"200520","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/bootstrap-slider","Bootstrap Slider",NULL,"bi-sliders2","200510","200520",NULL,NULL,NULL,"0",NULL,"0"
"200521","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/scrolly","Scrolly",NULL,"bi-arrow-down-circle","200510","200521",NULL,NULL,NULL,"0",NULL,"0"
"200522","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/tooltip-popovers","Tooltip & Popovers",NULL,"bi-chat-right-text","200510","200522",NULL,NULL,NULL,"0",NULL,"0"
"200523","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/rating","Rating",NULL,"bi-star","200510","200523",NULL,NULL,NULL,"0",NULL,"0"
"200524","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/prismjs","Prismjs",NULL,"bi-code-slash","200510","200524",NULL,NULL,NULL,"0",NULL,"0"
"200525","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/count-down","Count Down",NULL,"bi-stopwatch","200510","200525",NULL,NULL,NULL,"0",NULL,"0"
"200526","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/count-up","Count Up",NULL,"bi-hourglass","200510","200526",NULL,NULL,NULL,"0",NULL,"0"
"200527","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/draggable","Draggable",NULL,"bi-arrows-move","200510","200527",NULL,NULL,NULL,"0",NULL,"0"
"200528","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/tree-view","Tree View",NULL,"bi-diagram-3","200510","200528",NULL,NULL,NULL,"0",NULL,"0"
"200529","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/advance-ui/block-ui","Block UI",NULL,"bi-layout-sidebar-reverse","200510","200529",NULL,NULL,NULL,"0",NULL,"0"
"200600","2026-05-12 01:41:09","2026-05-12 01:41:09","category",NULL,"Icons","Phase 8 – Icons category","bi-emoji-smile",NULL,"200600",NULL,NULL,NULL,"0",NULL,"0"
"200610","2026-05-12 01:41:09","2026-05-12 01:41:09","menu","/globalsettings/icons/fontawesome","Fontawesome","Fontawesome icons","bi-bootstrap","200600","200610",NULL,NULL,NULL,"1",NULL,"0"
"200700","2026-05-12 01:41:09","2026-05-12 01:41:09","category",NULL,"Map & Charts","Phase 8 – Map & Charts category","bi-bar-chart-line",NULL,"200700",NULL,NULL,NULL,"0",NULL,"0"
"200710","2026-05-12 01:41:09","2026-05-12 01:41:09","menu",NULL,"Map & Charts","Map & Charts group","bi-bar-chart-line","200700","200710",NULL,NULL,NULL,"0",NULL,"0"
"200711","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/map-charts/map","Map",NULL,"bi-map","200710","200711",NULL,NULL,NULL,"0",NULL,"0"
"200712","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/map-charts/charts","Charts",NULL,"bi-bar-chart","200710","200712",NULL,NULL,NULL,"0",NULL,"0"
"200800","2026-05-12 01:41:09","2026-05-12 01:41:09","category",NULL,"Table & Forms","Phase 8 – Table & Forms category","bi-table",NULL,"200800",NULL,NULL,NULL,"0",NULL,"0"
"200810","2026-05-12 01:41:09","2026-05-12 01:41:09","menu",NULL,"Table & Forms","Table & Forms group","bi-table","200800","200810",NULL,NULL,NULL,"0",NULL,"0"
"200811","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/table-forms/basic-table","Basic Table",NULL,"bi-table","200810","200811",NULL,NULL,NULL,"0",NULL,"0"
"200812","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/table-forms/dark-table","Dark Table",NULL,"bi-moon","200810","200812",NULL,NULL,NULL,"0",NULL,"0"
"200813","2026-05-12 01:41:09","2026-05-12 01:41:09","submenu","/globalsettings/table-forms/bordered-table","Bordered Table",NULL,"bi-border-all","200810","200813",NULL,NULL,NULL,"0",NULL,"0"
"200900","2026-05-12 01:41:09","2026-05-12 01:41:09","category",NULL,"Pages","Phase 8 – Pages category","bi-file-earmark",NULL,"200900",NULL,NULL,NULL,"0",NULL,"0"
"200910","2026-05-12 01:41:09","2026-05-12 01:41:09","menu","/globalsettings/pages","Pages","Pages (existing)","bi-file-earmark","200900","200910",NULL,NULL,NULL,"1",NULL,"0"
