"Id","Scope","TokenKey","Description","CssVariable","DefaultValue","CurrentValue","ComponentGroup","Family","Variant","Property","GroupName","IsActive","Enabled","SortOrder","CreatedAt","UpdatedAt","Category"
"200010","component","btn-basic-primary-radius","Border radius for Basic Primary button","--ds-btn-basic-primary-radius","4px","4px","btn","basic","primary","radius","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 20:12:08","style"
"200011","component","btn-basic-primary-padding-x","Horizontal padding for Basic Primary button","--ds-btn-basic-primary-padding-x","12px","12px","btn","basic","primary","padding-x","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 20:12:08","layout"
"200012","component","btn-basic-primary-padding-y","Vertical padding for Basic Primary button","--ds-btn-basic-primary-padding-y","8px","8px","btn","basic","primary","padding-y","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 20:12:08","layout"
"200013","component","btn-basic-primary-gap","Gap between icon and text for Basic Primary button","--ds-btn-basic-primary-gap","6px","6px","btn","basic","primary","gap","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 20:12:08","layout"
"200014","component","btn-basic-primary-focus-ring","Focus ring style for Basic Primary button","--ds-btn-basic-primary-focus-ring","0 0 0 3px rgba(13,110,253,0.25)","0 0 0 3px rgba(13,110,253,0.25)","btn","basic","primary","focus-ring","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 20:12:08","style"
"200015","component","btn-basic-primary-outline","Outline style for Basic Primary button","--ds-btn-basic-primary-outline","none","none","btn","basic","primary","outline","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 20:12:08","style"
"200016","component","btn-basic-primary-transition","Transition style for Basic Primary button","--ds-btn-basic-primary-transition","all 0.2s ease-in-out","all 0.2s ease-in-out","btn","basic","primary","transition","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 20:12:08","style"
"200017","component","btn-basic-primary-icon-color","Icon colour for Basic Primary button","--ds-btn-basic-primary-icon-color","#ffffff","#ffffff","btn","basic","primary","icon-color","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 20:12:08","color"
"200018","component","btn-basic-primary-icon-size","Icon size for Basic Primary button","--ds-btn-basic-primary-icon-size","16px","16px","btn","basic","primary","icon-size","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 20:12:08","layout"
"200019","component","btn-basic-primary-line-height","Line height for Basic Primary button text","--ds-btn-basic-primary-line-height","1.2","1.2","btn","basic","primary","line-height","Basic Primary","1","0","0","2026-06-04 16:34:16","2026-06-04 20:12:08","layout"
"200100","component","secondary-bg","Secondary button background","--ds-btn-secondary-bg","transparent","transparent","btn","basic","secondary","bg","basic-secondary","1","1","1","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200101","component","secondary-text","Secondary button text","--ds-btn-secondary-text","#212529","#212529","btn","basic","secondary","text","basic-secondary","1","1","2","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200102","component","secondary-border","Secondary button border","--ds-btn-secondary-border","#dee2e6","#dee2e6","btn","basic","secondary","border","basic-secondary","1","1","3","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200103","component","secondary-bg-hover","Secondary button hover background","--ds-btn-secondary-bg-hover","#f8f9fa","#f8f9fa","btn","basic","secondary","hover","basic-secondary","1","1","4","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200104","component","secondary-text-hover","Secondary button hover text (fallback)","--ds-btn-secondary-text-hover","#ffffff","#ffffff","btn","basic","secondary","hover","basic-secondary","1","1","5","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200105","component","secondary-border-hover","Secondary button hover border (fallback)","--ds-btn-secondary-border-hover","#0b5ed7","#0b5ed7","btn","basic","secondary","hover","basic-secondary","1","1","6","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200106","component","secondary-bg-disabled","Secondary button disabled background (fallback)","--ds-btn-secondary-bg-disabled","#0d6efd","#0d6efd","btn","basic","secondary","disabled","basic-secondary","1","1","7","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200107","component","secondary-text-disabled","Secondary button disabled text (fallback)","--ds-btn-secondary-text-disabled","#ffffff","#ffffff","btn","basic","secondary","disabled","basic-secondary","1","1","8","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200108","component","secondary-border-disabled","Secondary button disabled border (fallback)","--ds-btn-secondary-border-disabled","#0d6efd","#0d6efd","btn","basic","secondary","disabled","basic-secondary","1","1","9","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200200","component","success-bg","Success button background","--ds-btn-success-bg","#198754","#198754","btn","basic","success","bg","basic-success","1","1","1","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200201","component","success-text","Success button text","--ds-btn-success-text","#ffffff","#ffffff","btn","basic","success","text","basic-success","1","1","2","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200202","component","success-border","Success button border","--ds-btn-success-border","#198754","#198754","btn","basic","success","border","basic-success","1","1","3","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200203","component","success-bg-hover","Success button hover background","--ds-btn-success-bg-hover","#157347","#157347","btn","basic","success","hover","basic-success","1","1","4","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200204","component","success-text-hover","Success button hover text (fallback)","--ds-btn-success-text-hover","#ffffff","#ffffff","btn","basic","success","hover","basic-success","1","1","5","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200205","component","success-border-hover","Success button hover border (fallback)","--ds-btn-success-border-hover","#0b5ed7","#0b5ed7","btn","basic","success","hover","basic-success","1","1","6","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200206","component","success-bg-disabled","Success button disabled background (fallback)","--ds-btn-success-bg-disabled","#0d6efd","#0d6efd","btn","basic","success","disabled","basic-success","1","1","7","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200207","component","success-text-disabled","Success button disabled text (fallback)","--ds-btn-success-text-disabled","#ffffff","#ffffff","btn","basic","success","disabled","basic-success","1","1","8","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200208","component","success-border-disabled","Success button disabled border (fallback)","--ds-btn-success-border-disabled","#0d6efd","#0d6efd","btn","basic","success","disabled","basic-success","1","1","9","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200300","component","danger-bg","Danger button background","--ds-btn-danger-bg","#dc3545","#dc3545","btn","basic","danger","bg","basic-danger","1","1","1","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200301","component","danger-text","Danger button text","--ds-btn-danger-text","#ffffff","#ffffff","btn","basic","danger","text","basic-danger","1","1","2","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200302","component","danger-border","Danger button border","--ds-btn-danger-border","#dc3545","#dc3545","btn","basic","danger","border","basic-danger","1","1","3","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200303","component","danger-bg-hover","Danger button hover background","--ds-btn-danger-bg-hover","#bb2d3b","#bb2d3b","btn","basic","danger","hover","basic-danger","1","1","4","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200304","component","danger-text-hover","Danger button hover text (fallback)","--ds-btn-danger-text-hover","#ffffff","#ffffff","btn","basic","danger","hover","basic-danger","1","1","5","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200305","component","danger-border-hover","Danger button hover border (fallback)","--ds-btn-danger-border-hover","#0b5ed7","#0b5ed7","btn","basic","danger","hover","basic-danger","1","1","6","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200306","component","danger-bg-disabled","Danger button disabled background (fallback)","--ds-btn-danger-bg-disabled","#0d6efd","#0d6efd","btn","basic","danger","disabled","basic-danger","1","1","7","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200307","component","danger-text-disabled","Danger button disabled text (fallback)","--ds-btn-danger-text-disabled","#ffffff","#ffffff","btn","basic","danger","disabled","basic-danger","1","1","8","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200308","component","danger-border-disabled","Danger button disabled border (fallback)","--ds-btn-danger-border-disabled","#0d6efd","#0d6efd","btn","basic","danger","disabled","basic-danger","1","1","9","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200400","component","warning-bg","Warning button background","--ds-btn-warning-bg","#ffc107","#ffc107","btn","basic","warning","bg","basic-warning","1","1","1","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200401","component","warning-text","Warning button text","--ds-btn-warning-text","#212529","#212529","btn","basic","warning","text","basic-warning","1","1","2","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200402","component","warning-border","Warning button border","--ds-btn-warning-border","#ffc107","#ffc107","btn","basic","warning","border","basic-warning","1","1","3","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200403","component","warning-bg-hover","Warning button hover background","--ds-btn-warning-bg-hover","#ffca2c","#ffca2c","btn","basic","warning","hover","basic-warning","1","1","4","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200404","component","warning-text-hover","Warning button hover text (fallback)","--ds-btn-warning-text-hover","#ffffff","#ffffff","btn","basic","warning","hover","basic-warning","1","1","5","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200405","component","warning-border-hover","Warning button hover border (fallback)","--ds-btn-warning-border-hover","#0b5ed7","#0b5ed7","btn","basic","warning","hover","basic-warning","1","1","6","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200406","component","warning-bg-disabled","Warning button disabled background (fallback)","--ds-btn-warning-bg-disabled","#0d6efd","#0d6efd","btn","basic","warning","disabled","basic-warning","1","1","7","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200407","component","warning-text-disabled","Warning button disabled text (fallback)","--ds-btn-warning-text-disabled","#ffffff","#ffffff","btn","basic","warning","disabled","basic-warning","1","1","8","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200408","component","warning-border-disabled","Warning button disabled border (fallback)","--ds-btn-warning-border-disabled","#0d6efd","#0d6efd","btn","basic","warning","disabled","basic-warning","1","1","9","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200500","component","info-bg","Info button background","--ds-btn-info-bg","#0dcaf0","#0dcaf0","btn","basic","info","bg","basic-info","1","1","1","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200501","component","info-text","Info button text","--ds-btn-info-text","#212529","#212529","btn","basic","info","text","basic-info","1","1","2","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200502","component","info-border","Info button border","--ds-btn-info-border","#0dcaf0","#0dcaf0","btn","basic","info","border","basic-info","1","1","3","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200503","component","info-bg-hover","Info button hover background","--ds-btn-info-bg-hover","#31d2f2","#31d2f2","btn","basic","info","hover","basic-info","1","1","4","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200504","component","info-text-hover","Info button hover text (fallback)","--ds-btn-info-text-hover","#ffffff","#ffffff","btn","basic","info","hover","basic-info","1","1","5","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200505","component","info-border-hover","Info button hover border (fallback)","--ds-btn-info-border-hover","#0b5ed7","#0b5ed7","btn","basic","info","hover","basic-info","1","1","6","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200506","component","info-bg-disabled","Info button disabled background (fallback)","--ds-btn-info-bg-disabled","#0d6efd","#0d6efd","btn","basic","info","disabled","basic-info","1","1","7","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200507","component","info-text-disabled","Info button disabled text (fallback)","--ds-btn-info-text-disabled","#ffffff","#ffffff","btn","basic","info","disabled","basic-info","1","1","8","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200508","component","info-border-disabled","Info button disabled border (fallback)","--ds-btn-info-border-disabled","#0d6efd","#0d6efd","btn","basic","info","disabled","basic-info","1","1","9","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200600","component","light-bg","Light button background","--ds-btn-light-bg","#f8f9fa","#f8f9fa","btn","basic","light","bg","basic-light","1","1","1","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200601","component","light-text","Light button text","--ds-btn-light-text","#212529","#212529","btn","basic","light","text","basic-light","1","1","2","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200602","component","light-border","Light button border","--ds-btn-light-border","#f8f9fa","#f8f9fa","btn","basic","light","border","basic-light","1","1","3","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200603","component","light-bg-hover","Light button hover background","--ds-btn-light-hover-bg","#e2e6ea","#e2e6ea","btn","basic","light","hover","basic-light","1","1","4","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200604","component","light-text-hover","Light button hover text","--ds-btn-light-hover-text","#212529","#212529","btn","basic","light","hover","basic-light","1","1","5","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200605","component","light-border-hover","Light button hover border","--ds-btn-light-hover-border","#dae0e5","#dae0e5","btn","basic","light","hover","basic-light","1","1","6","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200606","component","light-bg-disabled","Light button disabled background","--ds-btn-light-disabled-bg","#f8f9fa","#f8f9fa","btn","basic","light","disabled","basic-light","1","1","7","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200607","component","light-text-disabled","Light button disabled text","--ds-btn-light-disabled-text","#212529","#212529","btn","basic","light","disabled","basic-light","1","1","8","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200608","component","light-border-disabled","Light button disabled border","--ds-btn-light-disabled-border","#f8f9fa","#f8f9fa","btn","basic","light","disabled","basic-light","1","1","9","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200700","component","dark-bg","Dark button background","--ds-btn-dark-bg","#212529","#212529","btn","basic","dark","bg","basic-dark","1","1","1","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200701","component","dark-text","Dark button text","--ds-btn-dark-text","#ffffff","#ffffff","btn","basic","dark","text","basic-dark","1","1","2","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200702","component","dark-border","Dark button border","--ds-btn-dark-border","#212529","#212529","btn","basic","dark","border","basic-dark","1","1","3","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200703","component","dark-bg-hover","Dark button hover background","--ds-btn-dark-hover-bg","#1c1f23","#1c1f23","btn","basic","dark","hover","basic-dark","1","1","4","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200704","component","dark-text-hover","Dark button hover text","--ds-btn-dark-hover-text","#ffffff","#ffffff","btn","basic","dark","hover","basic-dark","1","1","5","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200705","component","dark-border-hover","Dark button hover border","--ds-btn-dark-hover-border","#1a1e21","#1a1e21","btn","basic","dark","hover","basic-dark","1","1","6","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200706","component","dark-bg-disabled","Dark button disabled background","--ds-btn-dark-disabled-bg","#212529","#212529","btn","basic","dark","disabled","basic-dark","1","1","7","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200707","component","dark-text-disabled","Dark button disabled text","--ds-btn-dark-disabled-text","#ffffff","#ffffff","btn","basic","dark","disabled","basic-dark","1","1","8","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200708","component","dark-border-disabled","Dark button disabled border","--ds-btn-dark-disabled-border","#212529","#212529","btn","basic","dark","disabled","basic-dark","1","1","9","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200709","component","outline-dark-text","Outline dark text","--ds-btn-outline-dark-text","#212529","#212529","btn","basic","dark","text","basic-dark","1","1","10","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200710","component","outline-dark-border","Outline dark border","--ds-btn-outline-dark-border","#212529","#212529","btn","basic","dark","border","basic-dark","1","1","11","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200711","component","outline-dark-bg-hover","Outline dark hover background","--ds-btn-outline-dark-hover-bg","#212529","#212529","btn","basic","dark","hover","basic-dark","1","1","12","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200712","component","outline-dark-text-hover","Outline dark hover text","--ds-btn-outline-dark-hover-text","#ffffff","#ffffff","btn","basic","dark","hover","basic-dark","1","1","13","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200713","component","outline-dark-border-hover","Outline dark hover border","--ds-btn-outline-dark-hover-border","#212529","#212529","btn","basic","dark","hover","basic-dark","1","1","14","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
"200714","component","outline-dark-text-disabled","Outline dark disabled text","--ds-btn-outline-dark-disabled-text","#212529","#212529","btn","basic","dark","disabled","basic-dark","1","1","15","2026-06-04 20:03:56","2026-06-04 20:12:53","color"
